Date,Time,Duration,Location,Session Name,Instructor,Room,Spots Available,Total Spots,Booked,Cumulative Bookings
10/13/2025,7:00 AM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,4,6,2,2
10/13/2025,7:00 AM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,2
10/13/2025,7:00 AM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,9,10,1,3
10/13/2025,7:00 AM,60 min.,Wedgewood Houston,SAVA Sound Journey,,Sound Room,1,1,0,3
10/13/2025,7:30 AM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,3
10/13/2025,7:30 AM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,3
10/13/2025,7:30 AM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,10,10,0,3
10/13/2025,8:00 AM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,3
10/13/2025,8:00 AM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,3
10/13/2025,8:00 AM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,9,10,1,4
10/13/2025,8:00 AM,60 min.,Wedgewood Houston,SAVA Sound Journey,,Sound Room,1,1,0,4
10/13/2025,8:30 AM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,4
10/13/2025,8:30 AM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,4
10/13/2025,8:30 AM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,7,10,3,7
10/13/2025,9:00 AM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,7
10/13/2025,9:00 AM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,7
10/13/2025,9:00 AM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,10,10,0,7
10/13/2025,9:00 AM,60 min.,Wedgewood Houston,SAVA Sound Journey,,Sound Room,1,1,0,7
10/13/2025,9:30 AM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,7
10/13/2025,9:30 AM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,7
10/13/2025,9:30 AM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,8,10,2,9
10/13/2025,10:00 AM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,9
10/13/2025,10:00 AM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,9
10/13/2025,10:00 AM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,10,10,0,9
10/13/2025,10:00 AM,60 min.,Wedgewood Houston,SAVA Sound Journey,,Sound Room,1,1,0,9
10/13/2025,10:30 AM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,9
10/13/2025,10:30 AM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,9
10/13/2025,10:30 AM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,10,10,0,9
10/13/2025,11:00 AM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,9
10/13/2025,11:00 AM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,9
10/13/2025,11:00 AM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,7,10,3,12
10/13/2025,11:00 AM,60 min.,Wedgewood Houston,SAVA Sound Journey,,Sound Room,1,1,0,12
10/13/2025,11:30 AM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,5,6,1,13
10/13/2025,11:30 AM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,,,,13
10/13/2025,11:30 AM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,9,10,1,14
10/13/2025,12:00 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,,,,14
10/13/2025,12:00 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,14
10/13/2025,12:00 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,6,10,4,18
10/13/2025,12:00 PM,60 min.,Wedgewood Houston,SAVA Sound Journey,,Sound Room,1,1,0,18
10/13/2025,12:30 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,2,6,4,22
10/13/2025,12:30 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,22
10/13/2025,12:30 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,9,10,1,23
10/13/2025,1:00 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,23
10/13/2025,1:00 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,23
10/13/2025,1:00 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,3,10,7,30
10/13/2025,1:00 PM,60 min.,Wedgewood Houston,SAVA Sound Journey,,Sound Room,,,,30
10/13/2025,1:30 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,5,6,1,31
10/13/2025,1:30 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,,,,31
10/13/2025,1:30 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,,,,31
10/13/2025,2:00 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,4,6,2,33
10/13/2025,2:00 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,,,,33
10/13/2025,2:00 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,2,10,8,41
10/13/2025,2:00 PM,60 min.,Wedgewood Houston,SAVA Sound Journey,,Sound Room,,,,41
10/13/2025,2:30 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,41
10/13/2025,2:30 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,,,,41
10/13/2025,2:30 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,10,10,0,41
10/13/2025,3:00 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,5,6,1,42
10/13/2025,3:00 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,,,,42
10/13/2025,3:00 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,9,10,1,43
10/13/2025,3:00 PM,60 min.,Wedgewood Houston,SAVA Sound Journey,,Sound Room,1,1,0,43
10/13/2025,3:30 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,43
10/13/2025,3:30 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,43
10/13/2025,3:30 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,7,10,3,46
10/13/2025,4:00 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,46
10/13/2025,4:00 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,46
10/13/2025,4:00 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,5,10,5,51
10/13/2025,4:00 PM,60 min.,Wedgewood Houston,SAVA Sound Journey,,Sound Room,1,1,0,51
10/13/2025,4:30 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,4,6,2,53
10/13/2025,4:30 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,53
10/13/2025,4:30 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,8,10,2,55
10/13/2025,5:00 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,6,6,0,55
10/13/2025,5:00 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,55
10/13/2025,5:00 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,10,10,0,55
10/13/2025,5:00 PM,60 min.,Wedgewood Houston,SAVA Sound Journey,,Sound Room,1,1,0,55
10/13/2025,5:30 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,4,6,2,57
10/13/2025,5:30 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,,,,57
10/13/2025,5:30 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,3,10,7,64
10/13/2025,6:00 PM,60 min.,East Nashville,"Sweat, Shiver, Socialize",,East Nashville Outdoor Studio,4,6,2,66
10/13/2025,6:00 PM,60 min.,Wedgewood Houston,"Sweat, Shiver, Socialize",,Flagship,2,15,13,79
10/13/2025,6:00 PM,60 min.,Wedgewood Houston,Private Room Reservation,,Flagship - Private Room,1,1,0,79
