Date,Time,Duration,Location,Session Name,Instructor,Room,Spots Available,Total Spots,Booked,Cumulative Bookings
10/13/2025,7:00 AM,60 min.,Lolu Nashville,Lolu Fit,,Lolu 1,10,14,4,4
10/13/2025,7:00 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 2,15,18,3,7
10/13/2025,7:30 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 3,16,18,2,9
10/13/2025,8:00 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,9,18,9,18
10/13/2025,6:30 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,,,,18
10/13/2025,7:00 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 2,10,18,8,26
10/13/2025,7:30 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 3,5,18,13,39
10/14/2025,6:30 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,12,18,6,6
10/14/2025,7:00 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 3,17,18,1,7
10/14/2025,7:30 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 2,15,18,3,10
10/14/2025,8:00 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,11,18,7,17
10/14/2025,11:30 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,8,18,10,27
10/14/2025,12:00 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 2,16,18,2,29
10/14/2025,4:45 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,19,20,1,30
10/14/2025,5:15 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 3,18,20,2,32
10/14/2025,6:45 PM,75 min.,Lolu Nashville,The Role of Breath and Sleep + Free Flow,Evan Galante,Lolu 1,2,24,22,54
10/14/2025,8:00 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,25,30,5,59
10/15/2025,6:00 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 3,17,18,1,1
10/15/2025,6:30 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,18,18,0,1
10/15/2025,7:00 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 2,17,18,1,2
10/15/2025,7:30 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 3,18,18,0,2
10/15/2025,8:00 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,18,18,0,2
10/15/2025,8:30 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 2,18,18,0,2
10/15/2025,11:30 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,17,18,1,3
10/15/2025,12:00 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 2,18,18,0,3
10/15/2025,4:45 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,19,20,1,4
10/15/2025,5:15 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 2,17,20,3,7
10/15/2025,6:45 PM,60 min.,Lolu Nashville,Guided: Restore,,Lolu 3,,,,7
10/15/2025,8:00 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,30,30,0,7
10/16/2025,6:00 AM,60 min.,Lolu Nashville,Guided: Energize,,Lolu 2,4,24,20,20
10/16/2025,7:00 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 3,17,18,1,21
10/16/2025,7:30 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 2,17,18,1,22
10/16/2025,8:00 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,18,18,0,22
10/16/2025,11:30 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,18,18,0,22
10/16/2025,12:00 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 2,18,18,0,22
10/16/2025,4:45 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,20,20,0,22
10/16/2025,5:15 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 3,19,20,1,23
10/16/2025,6:45 PM,75 min.,Lolu Nashville,Quiet Flow,,Lolu 1,30,30,0,23
10/16/2025,8:00 PM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,30,30,0,23
10/17/2025,6:30 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 1,16,18,2,2
10/17/2025,7:00 AM,75 min.,Lolu Nashville,Free Flow,,Lolu 2,17,18,1,3
