Date,Time,Duration,Location,Session Name,Instructor,Room,Spots Available,Total Spots,Booked,Cumulative Bookings
10/13/2025,7:00 AM,60 min.,Flatiron,Guided Down: Sound Immersion - 60 min,Rootsgod Fender,Sauna,60,64,4,4
10/13/2025,8:30 AM,75 min.,Flatiron,Free Flow,,Sauna.,29,40,11,15
10/13/2025,9:00 AM,75 min.,Flatiron,Free Flow,,Sauna..,34,40,6,21
10/13/2025,9:30 AM,75 min.,Flatiron,Free Flow,,Sauna...,37,40,3,24
10/13/2025,10:00 AM,75 min.,Flatiron,Free Flow,,Sauna.,23,40,17,41
10/13/2025,10:15 AM,75 min.,Flatiron,Free Flow,,Sauna..,18,40,22,63
10/13/2025,12:00 PM,60 min.,Flatiron,Guided Down: Deep Stretch - 60 min,,Sauna.,24,60,36,99
10/13/2025,1:30 PM,75 min.,Flatiron,Free Flow,,Sauna.,9,40,31,130
10/13/2025,1:45 PM,75 min.,Flatiron,Free Flow,,Sauna..,30,40,10,140
10/13/2025,2:15 PM,75 min.,Flatiron,Free Flow,,Sauna...,27,40,13,153
10/13/2025,2:45 PM,75 min.,Flatiron,Free Flow,,Sauna....,28,40,12,165
10/13/2025,3:15 PM,75 min.,Flatiron,Free Flow,,Sauna.....,28,40,12,177
10/13/2025,3:45 PM,75 min.,Flatiron,Free Flow,,Sauna.,22,40,18,195
10/13/2025,4:15 PM,75 min.,Flatiron,Free Flow,,Sauna..,19,40,21,216
10/13/2025,4:45 PM,75 min.,Flatiron,Free Flow,,Sauna...,0,30,30,246
10/13/2025,5:15 PM,75 min.,Flatiron,Lively Free Flow,,Sauna....,0,30,30,276
10/13/2025,6:30 PM,75 min.,Flatiron,Guided All Around: Acceptance,,Sauna.,1,64,63,339
10/13/2025,7:45 PM,75 min.,Flatiron,Guided Down: Pure Presence,,Sauna.,13,64,51,390
10/13/2025,9:00 PM,75 min.,Flatiron,Guided All Around: Gratitude,Aaron Albert,Sauna.,46,64,18,408
10/14/2025,7:00 AM,60 min.,Flatiron,Guided Up: Self-Care Sweat - 60 min,,Sauna,26,64,38,38
10/14/2025,8:30 AM,75 min.,Flatiron,Quieter Free Flow,,Sauna.,0,40,40,78
10/14/2025,9:00 AM,75 min.,Flatiron,Quieter Free Flow,,Sauna..,0,40,40,118
10/14/2025,9:30 AM,75 min.,Flatiron,Quieter Free Flow,,Sauna...,0,40,40,158
10/14/2025,10:00 AM,75 min.,Flatiron,Quieter Free Flow,,Sauna.,0,40,40,198
10/14/2025,10:15 AM,75 min.,Flatiron,Quieter Free Flow,,Sauna..,0,40,40,238
10/14/2025,12:00 PM,60 min.,Flatiron,Guided Down: Deep Stretch - 60 min,,Sauna.,50,64,14,252
10/14/2025,3:15 PM,75 min.,Flatiron,Free Flow,,Sauna..,27,40,13,265
10/14/2025,3:45 PM,75 min.,Flatiron,Free Flow,,Sauna....,27,30,3,268
10/14/2025,4:15 PM,75 min.,Flatiron,Free Flow,,Sauna.....,30,30,0,268
10/14/2025,4:45 PM,75 min.,Flatiron,Free Flow,,Sauna.,35,40,5,273
10/14/2025,5:15 PM,75 min.,Flatiron,Lively Free Flow,,Sauna...,10,30,20,293
10/14/2025,6:30 PM,75 min.,Flatiron,Guided Down: Sound Immersion,Rootsgod Fender,Sauna,30,64,34,327
10/14/2025,7:45 PM,75 min.,Flatiron,Guided All Around: A-Z Emotions,,Sauna,47,64,17,344
10/14/2025,9:00 PM,75 min.,Flatiron,Free Flow,,Sauna.....,0,15,15,359
10/14/2025,9:15 PM,75 min.,Flatiron,Free Flow,,Sauna....,21,25,4,363
10/14/2025,9:30 PM,75 min.,Flatiron,Free Flow,,Sauna.,29,30,1,364
10/14/2025,9:45 PM,75 min.,Flatiron,Free Flow,,Sauna..,30,30,0,364
10/15/2025,7:00 AM,60 min.,Flatiron,Guided Up: Feel Good Now - 60 min,Aaron Albert,Sauna,58,64,6,6
