Date,Time,Duration,Location,Session Name,Instructor,Room,Spots Available,Total Spots,Booked,Cumulative Bookings
"10/13/2025","7:00 AM","60 min.","Williamsburg","Guided Up: Self-Care Sweat - 60 min","","Sauna",54,64,10,10
"10/13/2025","8:30 AM","75 min.","Williamsburg","Free Flow","","Sauna .",30,40,10,20
"10/13/2025","9:00 AM","75 min.","Williamsburg","Free Flow","","Sauna.",33,40,7,27
"10/13/2025","9:30 AM","75 min.","Williamsburg","Free Flow","","Sauna..",35,40,5,32
"10/13/2025","10:00 AM","75 min.","Williamsburg","Free Flow","","Sauna...",36,40,4,36
"10/13/2025","10:15 AM","75 min.","Williamsburg","Free Flow","","Sauna....",22,40,18,54
"10/13/2025","12:00 PM","60 min.","Williamsburg","Guided Down: Senses - 60 min","","Sauna",18,64,46,100
"10/13/2025","1:30 PM","75 min.","Williamsburg","Free Flow","","Sauna .",28,40,12,112
"10/13/2025","1:45 PM","75 min.","Williamsburg","Free Flow","","Sauna.",37,40,3,115
"10/13/2025","2:15 PM","75 min.","Williamsburg","Free Flow","","Sauna..",22,40,18,133
"10/13/2025","2:45 PM","75 min.","Williamsburg","Free Flow","","Sauna...",33,40,7,140
"10/13/2025","3:15 PM","75 min.","Williamsburg","Free Flow","","Sauna....",37,40,3,143
"10/13/2025","3:45 PM","75 min.","Williamsburg","Free Flow","","Sauna .",23,40,17,160
"10/13/2025","4:15 PM","75 min.","Williamsburg","Free Flow","","Sauna.",27,40,13,173
"10/13/2025","4:45 PM","75 min.","Williamsburg","Free Flow","","Sauna..",16,30,14,187
"10/13/2025","5:15 PM","75 min.","Williamsburg","Lively Free Flow","","Sauna...",1,30,29,216
"10/13/2025","6:30 PM","75 min.","Williamsburg","Guided All Around: Journey Through the Elements","","Sauna",,,,216
"10/13/2025","7:45 PM","75 min.","Williamsburg","Guided All Around: Release","Jenny Frenkel","Sauna",12,64,52,268
"10/13/2025","9:00 PM","75 min.","Williamsburg","Guided All Around: Reset","Derek Baynton","Sauna",26,64,38,306
"10/14/2025","7:00 AM","60 min.","Williamsburg","Guided Down: Sound Immersion - 60 min","Rootsgod Fender","Sauna",35,64,29,29
"10/14/2025","8:30 AM","75 min.","Williamsburg","Quieter Free Flow","","Sauna .",33,40,7,36
"10/14/2025","9:00 AM","75 min.","Williamsburg","Quieter Free Flow","","Sauna.",37,40,3,39
"10/14/2025","9:30 AM","75 min.","Williamsburg","Quieter Free Flow","","Sauna..",40,40,0,39
"10/14/2025","10:00 AM","75 min.","Williamsburg","Quieter Free Flow","","Sauna...",34,40,6,45
"10/14/2025","10:15 AM","75 min.","Williamsburg","Quieter Free Flow","","Sauna....",35,40,5,50
"10/14/2025","12:00 PM","60 min.","Williamsburg","Guided Down: Embodied - 60 min","","Sauna",45,60,15,65
"10/14/2025","1:30 PM","75 min.","Williamsburg","Free Flow","","Sauna.",38,40,2,67
"10/14/2025","1:45 PM","75 min.","Williamsburg","Free Flow","","Sauna .",40,40,0,67
"10/14/2025","2:15 PM","75 min.","Williamsburg","Free Flow","","Sauna..",30,40,10,77
"10/14/2025","2:45 PM","75 min.","Williamsburg","Free Flow","","Sauna...",36,40,4,81
"10/14/2025","3:15 PM","75 min.","Williamsburg","Free Flow","","Sauna....",38,40,2,83
"10/14/2025","3:45 PM","75 min.","Williamsburg","Free Flow","","Sauna .",39,40,1,84
"10/14/2025","4:15 PM","75 min.","Williamsburg","Free Flow","","Sauna.",39,40,1,85
"10/14/2025","4:45 PM","75 min.","Williamsburg","Free Flow","","Sauna..",22,30,8,93
