Date,Time,Duration,Location,Session Name,Instructor,Room,Spots Available,Total Spots,Booked,Cumulative Bookings
"10/13/2025","7:00 AM","75 min.","Yorkville","Free Flow","","Sauna..",22,33,11,11
"10/13/2025","7:30 AM","75 min.","Yorkville","Free Flow","","Sauna...",29,33,4,15
"10/13/2025","8:00 AM","75 min.","Yorkville","Free Flow","","Sauna....",30,33,3,18
"10/13/2025","8:30 AM","75 min.","Yorkville","Free Flow","","Sauna..",30,33,3,21
"10/13/2025","9:00 AM","75 min.","Yorkville","Free Flow","","Sauna...",21,33,12,33
"10/13/2025","9:30 AM","75 min.","Yorkville","Free Flow","","Sauna....",17,33,16,49
"10/13/2025","10:00 AM","75 min.","Yorkville","Free Flow","","Sauna..",20,33,13,62
"10/13/2025","10:15 AM","75 min.","Yorkville","Free Flow","","Sauna...",15,33,18,80
"10/13/2025","12:00 PM","60 min.","Yorkville","Guided All Around: Sound Immersion - 60 min","","Sauna*",14,60,46,126
"10/13/2025","1:15 PM","75 min.","Yorkville","Lively Free Flow","","Sauna.....",5,33,28,154
"10/13/2025","1:45 PM","75 min.","Yorkville","Lively Free Flow","","Sauna..",15,33,18,172
"10/13/2025","2:15 PM","75 min.","Yorkville","Lively Free Flow","","Sauna...",17,33,16,188
"10/13/2025","2:45 PM","75 min.","Yorkville","Lively Free Flow","","Sauna....",20,33,13,201
"10/13/2025","3:15 PM","75 min.","Yorkville","Lively Free Flow","","Sauna..",19,33,14,215
"10/13/2025","3:45 PM","75 min.","Yorkville","Lively Free Flow","","Sauna.",28,33,5,220
"10/13/2025","4:15 PM","75 min.","Yorkville","Lively Free Flow","","Sauna...",15,33,18,238
"10/13/2025","4:45 PM","75 min.","Yorkville","Lively Free Flow","","Sauna....",14,33,19,257
"10/13/2025","5:15 PM","75 min.","Yorkville","Lively Free Flow","","Sauna.",6,33,27,284
"10/13/2025","6:30 PM","75 min.","Yorkville","Guided All Around: Journey Through the Elements","","Sauna*",39,52,13,297
"10/13/2025","7:45 PM","75 min.","Yorkville","Guided All Around: Rose, Thorn, Bud","","Sauna*",33,52,19,316
"10/13/2025","9:00 PM","75 min.","Yorkville","Guided Down: Pure Presence","","Sauna*",39,52,13,329
"10/14/2025","7:00 AM","75 min.","Yorkville","Quieter Free Flow","","Sauna*",28,30,2,2
"10/14/2025","7:30 AM","75 min.","Yorkville","Quieter Free Flow","","Sauna.....",25,25,0,2
"10/14/2025","8:00 AM","75 min.","Yorkville","Quieter Free Flow","","Sauna....",18,20,2,4
"10/14/2025","8:30 AM","75 min.","Yorkville","Quieter Free Flow","","Sauna..",27,33,6,10
"10/14/2025","9:00 AM","75 min.","Yorkville","Quieter Free Flow","","Sauna...",31,33,2,12
"10/14/2025","9:30 AM","75 min.","Yorkville","Quieter Free Flow","","Sauna....",29,33,4,16
"10/14/2025","10:00 AM","75 min.","Yorkville","Quieter Free Flow","","Sauna..",24,33,9,25
"10/14/2025","10:15 AM","75 min.","Yorkville","Quieter Free Flow","","Sauna...",28,33,5,30
"10/14/2025","12:00 PM","60 min.","Yorkville","Guided Down: Rose, Thorn, Bud - 60 min","","Sauna*",37,52,15,45
"10/14/2025","1:15 PM","75 min.","Yorkville","Guided All Around: Release","","Sauna*",44,52,8,53
"10/14/2025","2:30 PM","75 min.","Yorkville","Free Flow","","Sauna....",26,33,7,60
"10/14/2025","3:00 PM","75 min.","Yorkville","Free Flow","","Sauna.....",32,33,1,61
"10/14/2025","3:30 PM","75 min.","Yorkville","Free Flow","","Sauna.",29,33,4,65
"10/14/2025","4:00 PM","75 min.","Yorkville","Free Flow","","Sauna..",33,33,0,65
"10/14/2025","4:30 PM","75 min.","Yorkville","Free Flow","","Sauna...",33,33,0,65
"10/14/2025","5:00 PM","75 min.","Yorkville","Free Flow","","Sauna....",31,33,2,67
"10/14/2025","5:30 PM","75 min.","Yorkville","Lively Free Flow","","Sauna.....",25,33,8,75
"10/14/2025","6:45 PM","75 min.","Yorkville","Guided Up: Feel Good Now","","Sauna*",38,60,22,97
"10/14/2025","8:00 PM","75 min.","Yorkville","Quieter Free Flow","","Sauna....",3,25,22,119
"10/14/2025","8:15 PM","75 min.","Yorkville","Quieter Free Flow","","Sauna.....",6,20,14,133
"10/14/2025","8:30 PM","75 min.","Yorkville","Quieter Free Flow","","Sauna.",20,25,5,138
"10/14/2025","8:45 PM","75 min.","Yorkville","Quieter Free Flow","","Sauna..",12,20,8,146
"10/14/2025","9:00 PM","75 min.","Yorkville","Quieter Free Flow","","Sauna...",11,15,4,150
"10/14/2025","9:30 PM","75 min.","Yorkville","Quieter Free Flow","","Sauna....",25,25,0,150
"10/14/2025","9:45 PM","75 min.","Yorkville","Quieter Free Flow","","Sauna.....",19,20,1,151
"10/15/2025","7:00 AM","60 min.","Yorkville","Guided Up: Awakening - 60 min","","Sauna*",60,60,0,0
"10/15/2025","8:30 AM","75 min.","Yorkville","Free Flow","","Sauna..",32,33,1,1
"10/15/2025","9:00 AM","75 min.","Yorkville","Free Flow","","Sauna...",32,33,1,2
"10/15/2025","9:30 AM","75 min.","Yorkville","Free Flow","","Sauna....",33,33,0,2
"10/15/2025","10:00 AM","75 min.","Yorkville","Free Flow","","Sauna..",31,33,2,4
"10/15/2025","10:15 AM","75 min.","Yorkville","Free Flow","","Sauna...",33,33,0,4
"10/15/2025","12:00 PM","60 min.","Yorkville","Guided Down: Pure Presence - 60 min","","Sauna..",52,60,8,12
"10/15/2025","1:45 PM","75 min.","Yorkville","Free Flow","","Sauna.....",32,33,1,13
"10/15/2025","2:15 PM","75 min.","Yorkville","Free Flow","","Sauna..",33,33,0,13
"10/15/2025","2:45 PM","75 min.","Yorkville","Free Flow","","Sauna...",33,33,0,13
"10/15/2025","3:15 PM","75 min.","Yorkville","Free Flow","","Sauna....",33,33,0,13
"10/15/2025","3:45 PM","75 min.","Yorkville","Free Flow","","Sauna..",33,33,0,13
"10/15/2025","4:15 PM","75 min.","Yorkville","Free Flow","","Sauna.....",29,33,4,17
"10/15/2025","5:30 PM","75 min.","Yorkville","Guided Up: Self-Care Sweat","","Sauna*",42,52,10,27
"10/15/2025","6:45 PM","75 min.","Yorkville","Guided All Around: A-Z Emotions","","Sauna*",40,52,12,39
"10/15/2025","8:00 PM","75 min.","Yorkville","Free Flow","","Sauna....",15,25,10,49
"10/15/2025","8:15 PM","75 min.","Yorkville","Free Flow","","Sauna.....",15,20,5,54
"10/15/2025","8:30 PM","75 min.","Yorkville","Free Flow","","Sauna.",15,25,10,64
"10/15/2025","8:45 PM","75 min.","Yorkville","Free Flow","","Sauna..",19,20,1,65
"10/15/2025","9:00 PM","75 min.","Yorkville","Free Flow","","Sauna...",13,15,2,67
"10/15/2025","9:30 PM","75 min.","Yorkville","Free Flow","","Sauna....",24,25,1,68
"10/15/2025","9:45 PM","75 min.","Yorkville","Free Flow","","Sauna.....",19,20,1,69
"10/16/2025","7:00 AM","60 min.","Yorkville","Guided Down: Sound Immersion - 60 min","","Sauna*",42,52,10,10
"10/16/2025","8:30 AM","75 min.","Yorkville","Free Flow","","Sauna.",32,33,1,11
"10/16/2025","9:00 AM","75 min.","Yorkville","Free Flow","","Sauna",33,33,0,11
"10/16/2025","9:30 AM","75 min.","Yorkville","Free Flow","","Sauna....",33,33,0,11
"10/16/2025","10:00 AM","75 min.","Yorkville","Free Flow","","Sauna..",31,33,2,13
"10/16/2025","10:15 AM","75 min.","Yorkville","Free Flow","","Sauna...",33,33,0,13
"10/16/2025","12:00 PM","60 min.","Yorkville","Guided Up: Feel Good Now - 60 min","","Sauna*",59,60,1,14
"10/16/2025","3:30 PM","75 min.","Yorkville","Free Flow","","Sauna....",29,33,4,18
"10/16/2025","3:45 PM","75 min.","Yorkville","Free Flow","","Sauna..",30,33,3,21
"10/16/2025","4:15 PM","75 min.","Yorkville","Free Flow","","Sauna.....",30,33,3,24
"10/16/2025","5:30 PM","75 min.","Yorkville","Guided Up: Arctic Tundra","","Sauna*",46,52,6,30
"10/16/2025","6:45 PM","75 min.","Yorkville","Guided All Around: Heart Opener","","Sauna*",47,52,5,35
"10/16/2025","8:00 PM","75 min.","Yorkville","Lively Free Flow","","Sauna....",17,25,8,43
"10/16/2025","8:15 PM","75 min.","Yorkville","Lively Free Flow","","Sauna.....",17,20,3,46
